date,rank,title,author,description
2021-12-12,1,GO TELL THE BEES THAT I AM GONE,Diana Gabaldon,"The ninth book in the Outlander series. As the Revolutionary War moves closer to Fraser’s Ridge, Claire and Jamie reunite with their daughter and her family."
2021-12-12,2,THE BECOMING,Nora Roberts,The second book in the Dragon Heart Legacy series. Breen returns to Talamh as her grandfather Odran plots destruction.
2021-12-12,3,FEAR NO EVIL,James Patterson,The 29th book in the Alex Cross series. Cross fights the mastermind who has stalked him for years.
2021-12-12,4,THE JUDGE'S LIST,John Grisham,The second book in the Whistler series. Investigator Lacy Stoltz goes after a serial killer and closes in on a sitting judge.
2021-12-12,5,THE WISH,Nicholas Sparks,"Maggie Dawes, a renowned travel photographer, struggles with a medical diagnosis over Christmas."
2021-12-12,6,FLYING ANGELS,Danielle Steel,Six women join the Medical Air Evacuation Transport Squadron during World War II.
2021-12-12,7,IT ENDS WITH US,Colleen Hoover,A battered wife raised in a violent home attempts to halt the cycle of abuse.
2021-12-12,8,THE STRANGER IN THE LIFEBOAT,Mitch Albom,"After a ship explodes, 10 people struggling to survive pull a man who claims to be the Lord out of the sea."
2021-12-12,9,MERCY,David Baldacci,The fourth book in the Atlee Pine series. Atlee discovers her twin sister survived an abduction at the age of 6.
2021-12-12,10,THE LINCOLN HIGHWAY,Amor Towles,Two friends who escaped from a juvenile work farm take Emmett Watson on an unexpected journey to New York City in 1954.
2021-12-12,11,THE DARK HOURS,Michael Connelly,"A death on New Year’s Eve, an unsolved murder and a hunt for serial rapists bring Bosch and Ballard back together."
2021-12-12,12,THE CHRISTMAS PROMISE,Richard Paul Evans,"Richelle writes a book about her estranged and deceased twin sister, Michelle, that is titled “The Prodigal Daughter.”"
2021-12-12,13,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,A movie icon recounts stories of her loves and career to a struggling magazine writer.
2021-12-12,14,STATE OF TERROR,Hillary Rodham Clinton and Louise Penny,"In the wake of the previous administration’s mishandling of international affairs, the new Secretary of State Ellen Adams confronts interconnected global threats."
2021-12-12,15,PROJECT HAIL MARY,Andy Weir,"Ryland Grace awakes from a long sleep alone and far from home, and the fate of humanity rests on his shoulders."
2021-12-12,1,GO TELL THE BEES THAT I AM GONE,Diana Gabaldon,"The ninth book in the Outlander series. As the Revolutionary War moves closer to Fraser’s Ridge, Claire and Jamie reunite with their daughter and her family."
2021-12-12,2,THE BECOMING,Nora Roberts,The second book in the Dragon Heart Legacy series. Breen returns to Talamh as her grandfather Odran plots destruction.
2021-12-12,3,FEAR NO EVIL,James Patterson,The 29th book in the Alex Cross series. Cross fights the mastermind who has stalked him for years.
2021-12-12,4,THE JUDGE'S LIST,John Grisham,The second book in the Whistler series. Investigator Lacy Stoltz goes after a serial killer and closes in on a sitting judge.
2021-12-12,5,THE WISH,Nicholas Sparks,"Maggie Dawes, a renowned travel photographer, struggles with a medical diagnosis over Christmas."
2021-12-12,6,FLYING ANGELS,Danielle Steel,Six women join the Medical Air Evacuation Transport Squadron during World War II.
2021-12-12,7,IT ENDS WITH US,Colleen Hoover,A battered wife raised in a violent home attempts to halt the cycle of abuse.
2021-12-12,8,THE STRANGER IN THE LIFEBOAT,Mitch Albom,"After a ship explodes, 10 people struggling to survive pull a man who claims to be the Lord out of the sea."
2021-12-12,9,MERCY,David Baldacci,The fourth book in the Atlee Pine series. Atlee discovers her twin sister survived an abduction at the age of 6.
2021-12-12,10,THE LINCOLN HIGHWAY,Amor Towles,Two friends who escaped from a juvenile work farm take Emmett Watson on an unexpected journey to New York City in 1954.
2021-12-12,11,THE DARK HOURS,Michael Connelly,"A death on New Year’s Eve, an unsolved murder and a hunt for serial rapists bring Bosch and Ballard back together."
2021-12-12,12,THE CHRISTMAS PROMISE,Richard Paul Evans,"Richelle writes a book about her estranged and deceased twin sister, Michelle, that is titled “The Prodigal Daughter.”"
2021-12-12,13,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,A movie icon recounts stories of her loves and career to a struggling magazine writer.
2021-12-12,14,STATE OF TERROR,Hillary Rodham Clinton and Louise Penny,"In the wake of the previous administration’s mishandling of international affairs, the new Secretary of State Ellen Adams confronts interconnected global threats."
2021-12-12,15,PROJECT HAIL MARY,Andy Weir,"Ryland Grace awakes from a long sleep alone and far from home, and the fate of humanity rests on his shoulders."
2021-12-12,1,GO TELL THE BEES THAT I AM GONE,Diana Gabaldon,"The ninth book in the Outlander series. As the Revolutionary War moves closer to Fraser’s Ridge, Claire and Jamie reunite with their daughter and her family."
2021-12-12,2,THE BECOMING,Nora Roberts,The second book in the Dragon Heart Legacy series. Breen returns to Talamh as her grandfather Odran plots destruction.
2021-12-12,3,FEAR NO EVIL,James Patterson,The 29th book in the Alex Cross series. Cross fights the mastermind who has stalked him for years.
2021-12-12,4,THE JUDGE'S LIST,John Grisham,The second book in the Whistler series. Investigator Lacy Stoltz goes after a serial killer and closes in on a sitting judge.
2021-12-12,5,THE WISH,Nicholas Sparks,"Maggie Dawes, a renowned travel photographer, struggles with a medical diagnosis over Christmas."
2021-12-12,6,FLYING ANGELS,Danielle Steel,Six women join the Medical Air Evacuation Transport Squadron during World War II.
2021-12-12,7,IT ENDS WITH US,Colleen Hoover,A battered wife raised in a violent home attempts to halt the cycle of abuse.
2021-12-12,8,THE STRANGER IN THE LIFEBOAT,Mitch Albom,"After a ship explodes, 10 people struggling to survive pull a man who claims to be the Lord out of the sea."
2021-12-12,9,MERCY,David Baldacci,The fourth book in the Atlee Pine series. Atlee discovers her twin sister survived an abduction at the age of 6.
2021-12-12,10,THE LINCOLN HIGHWAY,Amor Towles,Two friends who escaped from a juvenile work farm take Emmett Watson on an unexpected journey to New York City in 1954.
2021-12-12,11,THE DARK HOURS,Michael Connelly,"A death on New Year’s Eve, an unsolved murder and a hunt for serial rapists bring Bosch and Ballard back together."
2021-12-12,12,THE CHRISTMAS PROMISE,Richard Paul Evans,"Richelle writes a book about her estranged and deceased twin sister, Michelle, that is titled “The Prodigal Daughter.”"
2021-12-12,13,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,A movie icon recounts stories of her loves and career to a struggling magazine writer.
2021-12-12,14,STATE OF TERROR,Hillary Rodham Clinton and Louise Penny,"In the wake of the previous administration’s mishandling of international affairs, the new Secretary of State Ellen Adams confronts interconnected global threats."
2021-12-12,15,PROJECT HAIL MARY,Andy Weir,"Ryland Grace awakes from a long sleep alone and far from home, and the fate of humanity rests on his shoulders."
2011-03-06,1,ALONE,Lisa Gardner,A woman who survived a childhood abduction may have tricked the Massachusetts police sniper Bobby Dodge into killing her husband.
2011-03-06,2,TICK TOCK,James Patterson and Michael Ledwidge,The New York detective Michael Bennett enlists the help of a former colleague to solve a rash of horrifying crimes that are throwing the city into chaos.
2011-03-06,3,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,A hacker and a journalist investigate the disappearance of a Swedish heiress 40 years earlier; the first volume in the Millennium trilogy.
2011-03-06,4,WATER FOR ELEPHANTS,Sara Gruen,"After his parents die in a car accident, young veterinary student — and an elephant — save a Depression-era circus."
2011-03-06,5,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,"In the second volume of the Millennium trilogy, a Swedish hacker becomes a murder suspect."
2011-03-06,6,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,"The third volume of the Millennium trilogy, about a Swedish hacker and a journalist."
2011-03-06,7,A DISCOVERY OF WITCHES,Deborah Harkness,The recovery of a lost ancient manuscript in a library at Oxford sets a fantastical underworld stirring.
2011-03-06,8,DREAMS OF A DARK WARRIOR,Kresley Cole,"Murdered before he could marry, a Celtic warrior seeks his beloved through eternity."
2011-03-06,9,CUTTING FOR STONE,Abraham Verghese,"Twin brothers, conjoined at birth and then separated, grow up amid the political turmoil of Ethiopia."
2011-03-06,10,THE HELP,Kathryn Stockett,A young white woman and two black maids in 1960s Mississippi.
2011-03-06,11,THE CONFESSION,John Grisham,"A criminal wants to save an innocent man on death row, but he must convince the authorities he’s telling the truth."
2011-03-06,12,HER LAST LETTER,Nancy C Johnson,A victim of a hit-and-run leaves behind a letter that throws her family into turmoil.
2011-03-06,13,DEAD OR ALIVE,Tom Clancy with Grant Blackwood,Familiar Clancy characters appear as an intelligence group tracks a vicious terrorist called the Emir.
2011-03-06,14,ROOM,Emma Donoghue,The entire world of the 5-year-old boy who narrates this novel is the 11-by-11-foot room in which his mother is being held prisoner.
2011-03-06,15,HOTEL ON THE CORNER OF BITTER AND SWEET,Jamie Ford,A friendship between a Chinese-American boy and a Japanese-American girl in Seattle during World War II.
2011-03-06,16,MARRYING DAISY BELLAMY,Susan Wiggs,"A woman struggles for years to choose between two men, one honorable and steady, one wild and untethered. And then, one fateful day, the decision is made for her."
2011-03-06,17,THE LOST SYMBOL,Dan Brown,The Harvard symbologist Robert Langdon among the Masons.
2011-03-06,18,THE POSTMISTRESS,Sarah Blake,"A tale of two worlds and two women delivering the news in 1940: Iris James, a spinster who runs the post office in a coastal Massachusetts town, and Frankie Bard, a reporter in London with Edward R. Murrow."
2011-03-06,19,LITTLE BEE,Chris Cleave,The lives of two women collide: a Nigerian refugee and an English magazine editor to whose home the refugee escapes after fleeing an immigration detention center.
2011-03-06,20,A HEARTBEAT AWAY,Michael Palmer,A terrorist group unleashes a deadly virus in the Capitol on the night of the State of the Union address.
2011-03-06,1,ALONE,Lisa Gardner,A woman who survived a childhood abduction may have tricked the Massachusetts police sniper Bobby Dodge into killing her husband.
2011-03-06,2,TICK TOCK,James Patterson and Michael Ledwidge,The New York detective Michael Bennett enlists the help of a former colleague to solve a rash of horrifying crimes that are throwing the city into chaos.
2011-03-06,3,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,A hacker and a journalist investigate the disappearance of a Swedish heiress 40 years earlier; the first volume in the Millennium trilogy.
2011-03-06,4,WATER FOR ELEPHANTS,Sara Gruen,"After his parents die in a car accident, young veterinary student — and an elephant — save a Depression-era circus."
2011-03-06,5,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,"In the second volume of the Millennium trilogy, a Swedish hacker becomes a murder suspect."
2011-03-06,6,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,"The third volume of the Millennium trilogy, about a Swedish hacker and a journalist."
2011-03-06,7,A DISCOVERY OF WITCHES,Deborah Harkness,The recovery of a lost ancient manuscript in a library at Oxford sets a fantastical underworld stirring.
2011-03-06,8,DREAMS OF A DARK WARRIOR,Kresley Cole,"Murdered before he could marry, a Celtic warrior seeks his beloved through eternity."
2011-03-06,9,CUTTING FOR STONE,Abraham Verghese,"Twin brothers, conjoined at birth and then separated, grow up amid the political turmoil of Ethiopia."
2011-03-06,10,THE HELP,Kathryn Stockett,A young white woman and two black maids in 1960s Mississippi.
2011-03-06,11,THE CONFESSION,John Grisham,"A criminal wants to save an innocent man on death row, but he must convince the authorities he’s telling the truth."
2011-03-06,12,HER LAST LETTER,Nancy C Johnson,A victim of a hit-and-run leaves behind a letter that throws her family into turmoil.
2011-03-06,13,DEAD OR ALIVE,Tom Clancy with Grant Blackwood,Familiar Clancy characters appear as an intelligence group tracks a vicious terrorist called the Emir.
2011-03-06,14,ROOM,Emma Donoghue,The entire world of the 5-year-old boy who narrates this novel is the 11-by-11-foot room in which his mother is being held prisoner.
2011-03-06,15,HOTEL ON THE CORNER OF BITTER AND SWEET,Jamie Ford,A friendship between a Chinese-American boy and a Japanese-American girl in Seattle during World War II.
2011-03-06,16,MARRYING DAISY BELLAMY,Susan Wiggs,"A woman struggles for years to choose between two men, one honorable and steady, one wild and untethered. And then, one fateful day, the decision is made for her."
2011-03-06,17,THE LOST SYMBOL,Dan Brown,The Harvard symbologist Robert Langdon among the Masons.
2011-03-06,18,THE POSTMISTRESS,Sarah Blake,"A tale of two worlds and two women delivering the news in 1940: Iris James, a spinster who runs the post office in a coastal Massachusetts town, and Frankie Bard, a reporter in London with Edward R. Murrow."
2011-03-06,19,LITTLE BEE,Chris Cleave,The lives of two women collide: a Nigerian refugee and an English magazine editor to whose home the refugee escapes after fleeing an immigration detention center.
2011-03-06,20,A HEARTBEAT AWAY,Michael Palmer,A terrorist group unleashes a deadly virus in the Capitol on the night of the State of the Union address.
2011-03-06,1,ALONE,Lisa Gardner,A woman who survived a childhood abduction may have tricked the Massachusetts police sniper Bobby Dodge into killing her husband.
2011-03-06,2,TICK TOCK,James Patterson and Michael Ledwidge,The New York detective Michael Bennett enlists the help of a former colleague to solve a rash of horrifying crimes that are throwing the city into chaos.
2011-03-06,3,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,A hacker and a journalist investigate the disappearance of a Swedish heiress 40 years earlier; the first volume in the Millennium trilogy.
2011-03-06,4,WATER FOR ELEPHANTS,Sara Gruen,"After his parents die in a car accident, young veterinary student — and an elephant — save a Depression-era circus."
2011-03-06,5,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,"In the second volume of the Millennium trilogy, a Swedish hacker becomes a murder suspect."
2011-03-06,6,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,"The third volume of the Millennium trilogy, about a Swedish hacker and a journalist."
2011-03-06,7,A DISCOVERY OF WITCHES,Deborah Harkness,The recovery of a lost ancient manuscript in a library at Oxford sets a fantastical underworld stirring.
2011-03-06,8,DREAMS OF A DARK WARRIOR,Kresley Cole,"Murdered before he could marry, a Celtic warrior seeks his beloved through eternity."
2011-03-06,9,CUTTING FOR STONE,Abraham Verghese,"Twin brothers, conjoined at birth and then separated, grow up amid the political turmoil of Ethiopia."
2011-03-06,10,THE HELP,Kathryn Stockett,A young white woman and two black maids in 1960s Mississippi.
2011-03-06,11,THE CONFESSION,John Grisham,"A criminal wants to save an innocent man on death row, but he must convince the authorities he’s telling the truth."
2011-03-06,12,HER LAST LETTER,Nancy C Johnson,A victim of a hit-and-run leaves behind a letter that throws her family into turmoil.
2011-03-06,13,DEAD OR ALIVE,Tom Clancy with Grant Blackwood,Familiar Clancy characters appear as an intelligence group tracks a vicious terrorist called the Emir.
2011-03-06,14,ROOM,Emma Donoghue,The entire world of the 5-year-old boy who narrates this novel is the 11-by-11-foot room in which his mother is being held prisoner.
2011-03-06,15,HOTEL ON THE CORNER OF BITTER AND SWEET,Jamie Ford,A friendship between a Chinese-American boy and a Japanese-American girl in Seattle during World War II.
2011-03-06,16,MARRYING DAISY BELLAMY,Susan Wiggs,"A woman struggles for years to choose between two men, one honorable and steady, one wild and untethered. And then, one fateful day, the decision is made for her."
2011-03-06,17,THE LOST SYMBOL,Dan Brown,The Harvard symbologist Robert Langdon among the Masons.
2011-03-06,18,THE POSTMISTRESS,Sarah Blake,"A tale of two worlds and two women delivering the news in 1940: Iris James, a spinster who runs the post office in a coastal Massachusetts town, and Frankie Bard, a reporter in London with Edward R. Murrow."
2011-03-06,19,LITTLE BEE,Chris Cleave,The lives of two women collide: a Nigerian refugee and an English magazine editor to whose home the refugee escapes after fleeing an immigration detention center.
2011-03-06,20,A HEARTBEAT AWAY,Michael Palmer,A terrorist group unleashes a deadly virus in the Capitol on the night of the State of the Union address.
2011-05-08,1,WATER FOR ELEPHANTS,Sara Gruen,"After his parents die in a car accident, a young veterinary student — and an elephant — save a Depression-era circus."
2011-05-08,2,THE SIXTH MAN,David Baldacci,"The lawyer for an alleged serial killer is murdered, and two former Secret Service agents are on the case."
2011-05-08,3,SOMETHING BORROWED,Emily Giffin,"A maid of honor to her charmed friend, Rachel White has always played by the rules. But that changes on her 30th birthday."
2011-05-08,4,THE HELP,Kathryn Stockett,A young white woman and two black maids in 1960s Mississippi.
2011-05-08,5,A GAME OF THRONES,George RR Martin,"In the frozen wastes to the north of Winterfell, sinister and supernatural forces are mustering."
2011-05-08,6,THE LINCOLN LAWYER,Michael Connelly,"Routinely doing business from his Lincoln Town Cars, the bottom-feeding attorney Mickey Haller is asked to defend the scion of a wealthy family who might not be guilty of a murderous crime."
2011-05-08,7,THE FIFTH WITNESS,Michael Connelly,The defense lawyer Mickey Haller represents a woman facing home foreclosure who is accused of killing a banker.
2011-05-08,8,EVE,Iris Johansen,The forensic sculptor Eve Duncan searches for answers to the mystery of her daughter’s disappearance.
2011-05-08,9,CHASING FIRE,Nora Roberts,A smoke jumper faces a new season of firefighting in Montana after the loss of her partner.
2011-05-08,10,THE LAND OF PAINTED CAVES,Jean M Auel,"The latest volume in a series that began with “The Clan of the Cave Bear,” set during the ice age."
2011-05-08,11,THE SEARCH,Nora Roberts,A canine search-and-rescue trainer has found peace after losing her fiancé to a serial killer. But her life is shaken by a new man and a copycat murderer.
2011-05-08,12,I’LL WALK ALONE,Mary Higgins Clark,A woman haunted by the disappearance of her young son discovers that someone has stolen her identity.
2011-05-08,13,QUICKSILVER,Amanda Quick,"In this Arcane Society novel set in Victorian London, two paranormal talents must find a murderer before they become the next victims."
2011-05-08,14,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,"The third volume of the Millennium trilogy, about a Swedish hacker and a journalist."
2011-05-08,15,THE PARIS WIFE,Paula McLain,"Ernest Hemingway’s first wife, Hadley, narrates this novel set in Paris."
2011-05-08,16,A VISIT FROM THE GOON SQUAD,Jennifer Egan,"Time is the relentless “goon squad” in this rock ’n’ roll novel, which explores the tattered lives of a cynical record producer and the people who intersect his world; a 2011 Pulitzer winner."
2011-05-08,17,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,A hacker and a journalist investigate the 40-year-old disappearance of a Swedish heiress.
2011-05-08,18,SAVE ME,Lisa Scottoline,A mother’s action during a school emergency causes an uproar in her idyllic suburban community.
2011-05-08,19,CUTTING FOR STONE,Abraham Verghese,"Twin brothers, conjoined and then separated, grow up amid the political turmoil of Ethiopia."
2011-05-08,20,THE 9TH JUDGMENT,James Patterson and Maxine Paetro,Detective Lindsay Boxer and the Women’s Murder Club pursue a killer who’s preying on women and children.
2011-05-08,1,WATER FOR ELEPHANTS,Sara Gruen,"After his parents die in a car accident, a young veterinary student — and an elephant — save a Depression-era circus."
2011-05-08,2,THE SIXTH MAN,David Baldacci,"The lawyer for an alleged serial killer is murdered, and two former Secret Service agents are on the case."
2011-05-08,3,SOMETHING BORROWED,Emily Giffin,"A maid of honor to her charmed friend, Rachel White has always played by the rules. But that changes on her 30th birthday."
2011-05-08,4,THE HELP,Kathryn Stockett,A young white woman and two black maids in 1960s Mississippi.
2011-05-08,5,A GAME OF THRONES,George RR Martin,"In the frozen wastes to the north of Winterfell, sinister and supernatural forces are mustering."
2011-05-08,6,THE LINCOLN LAWYER,Michael Connelly,"Routinely doing business from his Lincoln Town Cars, the bottom-feeding attorney Mickey Haller is asked to defend the scion of a wealthy family who might not be guilty of a murderous crime."
2011-05-08,7,THE FIFTH WITNESS,Michael Connelly,The defense lawyer Mickey Haller represents a woman facing home foreclosure who is accused of killing a banker.
2011-05-08,8,EVE,Iris Johansen,The forensic sculptor Eve Duncan searches for answers to the mystery of her daughter’s disappearance.
2011-05-08,9,CHASING FIRE,Nora Roberts,A smoke jumper faces a new season of firefighting in Montana after the loss of her partner.
2011-05-08,10,THE LAND OF PAINTED CAVES,Jean M Auel,"The latest volume in a series that began with “The Clan of the Cave Bear,” set during the ice age."
2011-05-08,11,THE SEARCH,Nora Roberts,A canine search-and-rescue trainer has found peace after losing her fiancé to a serial killer. But her life is shaken by a new man and a copycat murderer.
2011-05-08,12,I’LL WALK ALONE,Mary Higgins Clark,A woman haunted by the disappearance of her young son discovers that someone has stolen her identity.
2011-05-08,13,QUICKSILVER,Amanda Quick,"In this Arcane Society novel set in Victorian London, two paranormal talents must find a murderer before they become the next victims."
2011-05-08,14,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,"The third volume of the Millennium trilogy, about a Swedish hacker and a journalist."
2011-05-08,15,THE PARIS WIFE,Paula McLain,"Ernest Hemingway’s first wife, Hadley, narrates this novel set in Paris."
2011-05-08,16,A VISIT FROM THE GOON SQUAD,Jennifer Egan,"Time is the relentless “goon squad” in this rock ’n’ roll novel, which explores the tattered lives of a cynical record producer and the people who intersect his world; a 2011 Pulitzer winner."
2011-05-08,17,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,A hacker and a journalist investigate the 40-year-old disappearance of a Swedish heiress.
2011-05-08,18,SAVE ME,Lisa Scottoline,A mother’s action during a school emergency causes an uproar in her idyllic suburban community.
2011-05-08,19,CUTTING FOR STONE,Abraham Verghese,"Twin brothers, conjoined and then separated, grow up amid the political turmoil of Ethiopia."
2011-05-08,20,THE 9TH JUDGMENT,James Patterson and Maxine Paetro,Detective Lindsay Boxer and the Women’s Murder Club pursue a killer who’s preying on women and children.
2011-05-08,1,WATER FOR ELEPHANTS,Sara Gruen,"After his parents die in a car accident, a young veterinary student — and an elephant — save a Depression-era circus."
2011-05-08,2,THE SIXTH MAN,David Baldacci,"The lawyer for an alleged serial killer is murdered, and two former Secret Service agents are on the case."
2011-05-08,3,SOMETHING BORROWED,Emily Giffin,"A maid of honor to her charmed friend, Rachel White has always played by the rules. But that changes on her 30th birthday."
2011-05-08,4,THE HELP,Kathryn Stockett,A young white woman and two black maids in 1960s Mississippi.
2011-05-08,5,A GAME OF THRONES,George RR Martin,"In the frozen wastes to the north of Winterfell, sinister and supernatural forces are mustering."
2011-05-08,6,THE LINCOLN LAWYER,Michael Connelly,"Routinely doing business from his Lincoln Town Cars, the bottom-feeding attorney Mickey Haller is asked to defend the scion of a wealthy family who might not be guilty of a murderous crime."
2011-05-08,7,THE FIFTH WITNESS,Michael Connelly,The defense lawyer Mickey Haller represents a woman facing home foreclosure who is accused of killing a banker.
2011-05-08,8,EVE,Iris Johansen,The forensic sculptor Eve Duncan searches for answers to the mystery of her daughter’s disappearance.
2011-05-08,9,CHASING FIRE,Nora Roberts,A smoke jumper faces a new season of firefighting in Montana after the loss of her partner.
2011-05-08,10,THE LAND OF PAINTED CAVES,Jean M Auel,"The latest volume in a series that began with “The Clan of the Cave Bear,” set during the ice age."
2011-05-08,11,THE SEARCH,Nora Roberts,A canine search-and-rescue trainer has found peace after losing her fiancé to a serial killer. But her life is shaken by a new man and a copycat murderer.
2011-05-08,12,I’LL WALK ALONE,Mary Higgins Clark,A woman haunted by the disappearance of her young son discovers that someone has stolen her identity.
2011-05-08,13,QUICKSILVER,Amanda Quick,"In this Arcane Society novel set in Victorian London, two paranormal talents must find a murderer before they become the next victims."
2011-05-08,14,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,"The third volume of the Millennium trilogy, about a Swedish hacker and a journalist."
2011-05-08,15,THE PARIS WIFE,Paula McLain,"Ernest Hemingway’s first wife, Hadley, narrates this novel set in Paris."
2011-05-08,16,A VISIT FROM THE GOON SQUAD,Jennifer Egan,"Time is the relentless “goon squad” in this rock ’n’ roll novel, which explores the tattered lives of a cynical record producer and the people who intersect his world; a 2011 Pulitzer winner."
2011-05-08,17,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,A hacker and a journalist investigate the 40-year-old disappearance of a Swedish heiress.
2011-05-08,18,SAVE ME,Lisa Scottoline,A mother’s action during a school emergency causes an uproar in her idyllic suburban community.
2011-05-08,19,CUTTING FOR STONE,Abraham Verghese,"Twin brothers, conjoined and then separated, grow up amid the political turmoil of Ethiopia."
2011-05-08,20,THE 9TH JUDGMENT,James Patterson and Maxine Paetro,Detective Lindsay Boxer and the Women’s Murder Club pursue a killer who’s preying on women and children.
2011-07-10,1,SMOKIN’ SEVENTEEN,Janet Evanovich,"A killer is after the bounty hunter Stephanie Plum, who faces further complications as she tries to choose a boyfriend."
2011-07-10,2,THE HELP,Kathryn Stockett,A young white woman and two black maids in 1960s Mississippi.
2011-07-10,3,A GAME OF THRONES,George RR Martin,"In the frozen wastes to the north of Winterfell, sinister and supernatural forces are mustering."
2011-07-10,4,WATER FOR ELEPHANTS,Sara Gruen,"After his parents are killed in a car accident, a young veterinary student — and an elephant — save a Depression-era circus."
2011-07-10,5,AGAINST ALL ENEMIES,Tom Clancy with Peter Telep,Maxwell Moore pursues the terrorists who killed his C.I.A. colleagues in a bomb attack in Pakistan.
2011-07-10,6,THE DEVIL COLONY,James Rollins,The discovery of a lost colony reveals a conspiracy from the nation’s founding; a Sigma Force novel.
2011-07-10,7,STATE OF WONDER,Ann Patchett,"In the Amazon basin, a medical researcher searches for her former mentor, a despotic scientist who is developing a miracle fertility drug."
2011-07-10,8,A CLASH OF KINGS,George RR Martin,"From the citadel of Dragonstone to the shores of Winterfell, factions vie for control of a divided land; Book 2 of ""A Song of Ice and Fire."""
2011-07-10,9,ONE SUMMER,David Baldacci,"As Christmas nears, a terminally ill man is preparing his family for his death when another tragedy strikes."
2011-07-10,10,SILVER GIRL,Elin Hilderbrand,"The wife of a Wall Street crook retreats to Nantucket, where she faces an array of relationship troubles."
2011-07-10,11,LEARNING,Karen Kingsbury,"While Bailey Flanigan pursues her dream of being an actress in New York, Cody coaches small-town high school football."
2011-07-10,12,ROOM,Emma Donoghue,The entire world of the 5-year-old boy who narrates this novel is the 11-by-11-foot room in which his mother is being held prisoner.
2011-07-10,13,FALLEN,Karin Slaughter,"The mother of the Georgia cop Faith Mitchell is taken hostage, and the evidence unveils police corruption, bribery and murder."
2011-07-10,14,10TH ANNIVERSARY,James Patterson and Maxine Paetro,Detective Lindsay Boxer and the Women’s Murder Club race to find a missing baby.
2011-07-10,15,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,A hacker and a journalist investigate the disappearance of a Swedish heiress 40 years earlier.
2011-07-10,16,BURIED PREY,John Sandford,"For 25 years the unsolved kidnapping of two girls has haunted the Minneapolis detective Lucas Davenport. But now, their bodies have been found."
2011-07-10,17,SIZZLING SIXTEEN,Janet Evanovich,The bounty hunter Stephanie Plum comes to the aid of a cousin with gambling debts.
2011-07-10,18,CARTE BLANCHE,Jeffery Deaver,"A young James Bond, on a global mission for a unit of British security, must foil a plot to kill thousands of citizens."
2011-07-10,19,UNLOCKED,Courtney Milan,"What’s tormenting the Earl of Westfeld may be the stirrings of love for his former victim, the perpetual wallflower Lady Elaine Warren."
2011-07-10,20,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,"In the last volume of the Millennium trilogy, Mikael Blomkvist and Lisbeth Salander are threatened by an adversary from deep within the government."
2011-07-10,1,SMOKIN’ SEVENTEEN,Janet Evanovich,"A killer is after the bounty hunter Stephanie Plum, who faces further complications as she tries to choose a boyfriend."
2011-07-10,2,THE HELP,Kathryn Stockett,A young white woman and two black maids in 1960s Mississippi.
2011-07-10,3,A GAME OF THRONES,George RR Martin,"In the frozen wastes to the north of Winterfell, sinister and supernatural forces are mustering."
2011-07-10,4,WATER FOR ELEPHANTS,Sara Gruen,"After his parents are killed in a car accident, a young veterinary student — and an elephant — save a Depression-era circus."
2011-07-10,5,AGAINST ALL ENEMIES,Tom Clancy with Peter Telep,Maxwell Moore pursues the terrorists who killed his C.I.A. colleagues in a bomb attack in Pakistan.
2011-07-10,6,THE DEVIL COLONY,James Rollins,The discovery of a lost colony reveals a conspiracy from the nation’s founding; a Sigma Force novel.
2011-07-10,7,STATE OF WONDER,Ann Patchett,"In the Amazon basin, a medical researcher searches for her former mentor, a despotic scientist who is developing a miracle fertility drug."
2011-07-10,8,A CLASH OF KINGS,George RR Martin,"From the citadel of Dragonstone to the shores of Winterfell, factions vie for control of a divided land; Book 2 of ""A Song of Ice and Fire."""
2011-07-10,9,ONE SUMMER,David Baldacci,"As Christmas nears, a terminally ill man is preparing his family for his death when another tragedy strikes."
2011-07-10,10,SILVER GIRL,Elin Hilderbrand,"The wife of a Wall Street crook retreats to Nantucket, where she faces an array of relationship troubles."
2011-07-10,11,LEARNING,Karen Kingsbury,"While Bailey Flanigan pursues her dream of being an actress in New York, Cody coaches small-town high school football."
